surely_inc,surely_agg,border_inc,border_agg,surplus_inc,surplus_agg
4173,4173,208,225,0,0
2263,2263,327,259,0,0
9907,9907,182,180,0,0
4499,4499,60,50,0,0
2610,2610,416,408,0,0
17632,17632,195,168,0,0
668,668,308,647,0,0
22820,22820,359,342,0,0
14712,14712,690,475,0,0
27166,27166,140,97,0,0
0,0,374,354,0,0
9765,9765,257,224,0,0
0,0,1985,1952,0,0
5086,5086,269,238,0,0
10026,10026,572,470,0,0
0,0,375,353,0,0
7855,7855,236,195,0,0
4878,4878,158,130,0,0
0,0,1554,1657,0,0
24416,24416,423,287,0,0
14705,14705,251,191,0,0
14418,14418,2746,2535,0,0
9006,9006,315,301,0,0
14681,14681,125,134,0,0
1613,1613,204,180,0,0
32481,32481,693,785,0,0
8449,8449,199,173,0,0
15699,15699,344,231,0,0
997,997,245,162,0,0
6260,6260,182,167,0,0
10607,10607,96,99,0,0
23851,23851,356,298,0,0
6427,6427,314,240,0,0
327,327,398,560,0,0
15625,15625,328,325,0,0
5385,5385,333,332,0,0
1323,1323,272,257,0,0
7986,7986,437,495,0,0
10764,10764,93,88,0,0
0,0,4619,4325,0,0
0,0,425,438,0,0
17258,17258,143,129,0,0
24134,24134,342,207,0,0
18062,18062,342,273,0,0
0,0,2322,2283,0,0
52446,52446,102,94,0,0
7114,7114,217,197,0,0
1312,1312,185,187,0,0
19405,19405,703,255,0,0
810,810,332,297,0,0
0,0,532,341,0,0
2290,2290,328,386,0,0
3891,3891,168,168,0,0
18405,18405,892,806,0,0
0,0,403,409,0,0
9856,9856,740,543,0,0
2738,2738,303,232,0,0
0,0,905,411,0,0
7259,7259,229,198,0,0
3647,3647,278,236,0,0
10588,10588,204,96,0,0
45204,45204,2382,2171,0,0
12296,12296,159,174,0,0
0,0,575,469,0,0
53882,53882,189,164,0,0
5557,5557,170,166,0,0
18647,18647,89,85,0,0
0,0,653,391,0,0
12561,12561,78,73,0,0
20343,20343,155,65,0,0
29856,29856,84,85,0,0
44730,44730,85,84,0,0
0,0,489,380,0,0
14462,14462,56,52,0,0
11944,11944,62,58,0,0
56204,56204,212,181,0,0
61402,61402,290,270,0,0
21430,21430,513,117,0,0
0,0,975,530,0,0
29310,29310,396,156,0,0
25177,25177,187,166,0,0
0,0,1425,1617,0,0
2088,2088,406,414,0,0
1639,1639,279,220,0,0
12125,12125,945,790,0,0
4172,4172,122,128,0,0
197,197,4403,4307,0,0
0,0,499,459,0,0
8973,8973,1185,1815,0,0
26877,26877,268,122,0,0
13432,13432,165,152,0,0
3528,3528,249,285,0,0
0,0,653,582,0,0
0,0,2315,1166,0,0
0,0,1809,1112,0,0
0,0,713,737,0,0
16316,16316,521,763,0,0
21527,21527,187,169,0,0
6276,6276,889,928,0,0
0,0,487,366,0,0
28640,28640,112,108,0,0
123,123,1344,932,0,0
0,0,7811,5120,0,0
2773,2773,246,230,0,0
31346,31346,179,152,0,0
23843,23843,241,205,0,0
0,0,685,534,0,0
0,0,1661,1904,0,0
3598,3598,1925,1497,0,0
0,0,5947,4552,0,0
10103,10103,1155,1218,0,0
26466,26466,284,315,0,0
50664,50664,229,215,0,0
25526,25526,572,568,0,0
36647,36647,210,170,0,0
3992,3992,1241,1171,0,0
8102,8102,245,278,0,0
0,0,531,547,0,0
28185,28185,297,227,0,0
26576,26576,84,86,0,0
23098,23098,184,170,0,0
11315,11315,2760,2825,0,0
1694,1694,178,145,0,0
16219,16219,2459,1693,0,0
45186,45186,19,23,0,0
0,0,443,486,0,0
0,0,536,751,0,0
4111,4111,674,287,0,0
41686,41686,193,184,0,0
0,0,3699,3431,0,0
9128,9128,911,351,0,0
26804,26804,2231,2400,0,0
0,0,877,725,0,0
5538,5538,872,613,0,0
23677,23677,224,217,0,0
0,0,2065,1405,0,0
1451,1451,1030,323,0,0
0,0,1797,1855,0,0
7449,7449,354,426,0,0
7690,7690,127,126,0,0
9401,9401,591,572,0,0
20802,20802,148,94,0,0
20248,20248,37,36,0,0
24262,24262,246,67,0,0
19245,19245,211,153,0,0
14148,14148,464,396,0,0
26737,26737,62,74,0,0
5743,5743,813,195,0,0
6076,6076,80,81,0,0
3406,3406,368,303,0,0
15134,15134,51,54,0,0
0,0,289,277,0,0
3943,3943,176,148,0,0
4143,4143,87,88,0,0
3095,3095,99,86,0,0
2540,2540,19,21,0,0
9513,9513,243,210,0,0
11184,11184,243,227,0,0
31653,31653,122,123,0,0
13203,13203,503,147,0,0
15135,15135,87,72,0,0
15023,15023,180,164,0,0
1676,1676,76,77,0,0
14907,14907,142,140,0,0
6273,6273,286,281,0,0
10764,10764,996,971,0,0
8143,8143,224,220,0,0
6876,6876,164,162,0,0
19640,19640,83,89,0,0
29314,29314,135,148,0,0
3395,3395,72,75,0,0
25146,25146,73,70,0,0
5261,5261,44,38,0,0
4171,4171,119,100,0,0
11635,11635,108,124,0,0
4722,4722,150,82,0,0
7983,7983,135,118,0,0
27727,27727,454,212,0,0
19890,19890,793,310,0,0
5775,5775,286,209,0,0
5536,5536,118,106,0,0
10408,10408,157,141,0,0
12338,12338,144,143,0,0
4201,4201,84,94,0,0
4261,4261,208,185,0,0
13098,13098,880,788,0,0
5803,5803,81,98,0,0
6168,6168,215,117,0,0
6829,6829,838,785,0,0
8452,8452,118,125,0,0
11359,11359,282,225,0,0
13104,13104,193,126,0,0
24247,24247,114,102,0,0
2423,2423,29,29,0,0
7184,7184,83,78,0,0
5244,5244,745,510,0,0
9255,9255,181,198,0,0
12276,12276,116,114,0,0
19934,19934,115,100,0,0
27212,27212,113,111,0,0
32048,32048,113,81,0,0
28761,28761,183,155,0,0
13445,13445,821,816,0,0
23554,23554,117,120,0,0
10449,10449,149,131,0,0
5565,5565,140,128,0,0
1331,1331,325,273,0,0
6056,6056,134,134,0,0
12625,12625,174,155,0,0
1366,1366,398,339,0,0
13458,13458,139,124,0,0
8143,8143,167,143,0,0
18827,18827,105,111,0,0
4923,4923,114,113,0,0
6462,6462,69,65,0,0
30590,30590,350,327,0,0
9909,9909,248,223,0,0
14454,14454,171,177,0,0
3545,3545,94,96,0,0
20163,20163,193,159,0,0
4800,4800,198,184,0,0
4529,4529,165,145,0,0
29255,29255,162,161,0,0
14065,14065,614,381,0,0
4125,4125,857,832,0,0
5333,5333,218,195,0,0
8466,8466,237,461,0,0
10712,10712,135,132,0,0
29871,29871,138,124,0,0
467,467,259,258,0,0
24982,24982,169,167,0,0
5139,5139,262,259,0,0
25898,25898,121,128,0,0
17288,17288,146,131,0,0
2130,2130,105,105,0,0
9089,9089,148,138,0,0
20325,20325,47,46,0,0
17408,17408,193,173,0,0
13480,13480,911,862,0,0
10735,10735,84,89,0,0
1103,1103,158,174,0,0
4310,4310,147,140,0,0
0,0,2804,2583,0,0
4191,4191,211,256,0,0
15924,15924,697,333,0,0
7591,7591,515,343,0,0
34295,34295,9939,9930,0,0
88701,88701,84,53,0,0
35360,35360,3953,3407,0,0
0,0,967,959,0,0
35469,35469,98,126,0,0
841,841,3034,3030,0,0
38583,38583,363,165,0,0
16986,16986,260,244,0,0
8730,8730,107,98,0,0
17649,17649,309,154,0,0
34239,34239,2787,2835,0,0
2527,2527,65,62,0,0
23459,23459,223,191,0,0
0,0,3505,3431,0,0
18192,18192,317,228,0,0
3201,3201,570,384,0,0
3694,3694,949,950,0,0
68128,68128,351,424,0,0
107485,107485,68,77,0,0
7130,7130,903,341,0,0
6043,6043,325,167,0,0
32900,32900,588,563,0,0
81289,81289,340,293,0,0
6614,6614,155,125,0,0
13084,13084,336,599,0,0
28314,28314,121,70,0,0
21942,21942,158,127,0,0
25111,25111,339,270,0,0
10743,10743,416,186,0,0
43124,43124,87,77,0,0
35825,35825,1218,1197,0,0
17061,17061,967,659,0,0
21,21,690,400,0,0
1776,1776,475,662,0,0
12260,12260,475,451,0,0
18166,18166,47,63,0,0
61698,61698,747,541,0,0
77838,77838,628,749,0,0
7448,7448,71,67,0,0
69286,69286,2557,1629,0,0
12640,12640,31,26,0,0
25656,25656,214,179,0,0
5261,5261,244,198,0,0
79553,79553,1051,661,0,0
35710,35710,224,218,0,0
5931,5931,1139,1006,0,0
29731,29731,505,266,0,0
67779,67779,358,220,0,0
0,0,1007,878,0,0
40005,40005,1060,1024,0,0
3762,3762,229,274,0,0
0,0,426,385,0,0
8586,8586,513,313,0,0
0,0,786,613,0,0
26050,26050,181,165,0,0
48981,48981,314,307,0,0
20002,20002,75,66,0,0
9238,9238,216,1508,0,0
83313,83313,1173,1148,0,0
47262,47262,190,183,0,0
30735,30735,320,338,0,0
13778,13778,143,111,0,0
26180,26180,67,61,0,0
27495,27495,183,182,0,0
52,52,3205,2670,0,0
5896,5896,13479,13055,0,0
0,0,2427,2355,0,0
78321,78321,848,162,0,0
34295,34295,12277,11801,0,0
0,0,1064,964,0,0
0,0,615,526,0,0
7340,7340,2085,1756,0,0
8325,8325,1247,1181,0,0
5152,5152,523,455,0,0
32900,32900,7379,5228,0,0
0,0,6862,6314,0,0
6161,6161,236,205,0,0
0,0,2391,1900,0,0
125107,125107,116,119,0,0
3422,3422,193,179,0,0
56632,56632,1753,1514,0,0
14909,14909,26,29,0,0
48243,48243,145,137,0,0
