index,domain,name,rows,cols,k,dist_start_goals,nrm_dist_start_goals,dist_between_goals,dijkstra_explored,dijkstra_elapsed,incremental_explored,incremental_elapsed,aggregative_explored,aggregative_elapsed
,Cities,Moscow_1_1024,1024,1024,60,314.98,15.4,13.66,144589,9,746,0,636,1
,Cities,Moscow_1_1024,1024,1024,80,318.89,15.59,14.14,164904,11,10303,1,10197,3
,Cities,Moscow_1_1024,1024,1024,80,314.7,15.38,13.67,144589,9,804,1,689,2
,Cities,Moscow_1_1024,1024,1024,100,318.92,15.59,13.9,164929,12,10314,1,10229,5
,Cities,Moscow_1_1024,1024,1024,100,314.84,15.39,13.9,144597,9,824,1,711,3
,Cities,Moscow_1_1024,1024,1024,20,151.8,7.42,15.01,37743,2,209,0,497,0
,Cities,Moscow_1_1024,1024,1024,20,154.75,7.56,12.98,15592,0,239,0,237,0
,Cities,Moscow_1_1024,1024,1024,40,151.18,7.39,15.29,37743,2,240,0,271,0
,Cities,Moscow_1_1024,1024,1024,40,156.5,7.65,13.99,15790,0,271,0,269,0
,Cities,Moscow_1_1024,1024,1024,60,151.53,7.41,14.96,37773,2,274,0,303,0
,Cities,Moscow_1_1024,1024,1024,60,156.27,7.64,14.82,15796,0,323,0,307,0
,Cities,Moscow_1_1024,1024,1024,80,151.11,7.39,15.13,37773,2,309,0,465,1
,Cities,Moscow_1_1024,1024,1024,80,156.6,7.65,14.78,15796,0,340,0,338,1
,Cities,Moscow_1_1024,1024,1024,100,151.25,7.39,14.67,37773,2,322,0,473,1
,Cities,Moscow_1_1024,1024,1024,100,156.25,7.64,14.94,15796,0,369,0,367,1
,Cities,Moscow_1_1024,1024,1024,20,280.75,13.72,14.67,83286,5,414,0,406,0
,Cities,Moscow_1_1024,1024,1024,20,283.15,13.84,15.75,104907,6,3676,0,2515,0
,Cities,Moscow_1_1024,1024,1024,40,281.12,13.74,14.36,83686,5,435,0,446,0
,Cities,Moscow_1_1024,1024,1024,40,284.02,13.88,15.3,104907,6,10402,1,10395,2
,Cities,Moscow_1_1024,1024,1024,60,281.5,13.76,15.13,84078,5,508,0,478,1
,Cities,Moscow_1_1024,1024,1024,60,284.07,13.88,15.2,104907,6,10419,1,10421,3
,Cities,Moscow_1_1024,1024,1024,80,281.57,13.76,14.75,84078,5,522,0,517,2
,Cities,Moscow_1_1024,1024,1024,80,283.59,13.86,14.88,104907,6,10680,1,10687,4
,Cities,Moscow_1_1024,1024,1024,100,282.99,13.83,14.83,84090,5,540,1,541,3
,Cities,Moscow_1_1024,1024,1024,100,283.48,13.86,14.65,104907,6,10693,1,10713,5
,Cities,NewYork_0_1024,1024,1024,20,166.2,8.12,13.29,42720,2,333,0,262,0
,Cities,NewYork_0_1024,1024,1024,20,173.65,8.49,14.61,50713,3,765,0,385,0
,Cities,NewYork_0_1024,1024,1024,40,163.72,8,13.19,42720,2,382,0,336,0
,Cities,NewYork_0_1024,1024,1024,40,171.97,8.41,14.09,50713,3,787,0,415,0
,Cities,NewYork_0_1024,1024,1024,60,162.28,7.93,13.95,42720,2,399,0,355,1
,Cities,NewYork_0_1024,1024,1024,60,170.3,8.32,14.4,50713,3,1090,1,865,1
